,display,data_type,output_units,input_column_name,input_units
f360m-clear-reff,Effective Radius (F360M),float,,effective radius (f360m-clear),pixels
f360m-clear-sersic,Sersic (n) (F360M),float,,sersic (f360m-clear),
f360m-clear-axratio,Model Axis Ratio (F360M),float,,axis ratio (f360m-clear),
f410m-clear-use,Useablity (F410M),bool,,use (f410m-clear),
f410m-clear-sb,Surface Brightness (F410M),float,,surface brightness (f410m-clear),mag/arcsec^2
f410m-clear-reff,Effective Radius (F410M),float,,effective radius (f410m-clear),pixels
f410m-clear-sersic,Sersic (n) (F410M),float,,sersic (f410m-clear),
f410m-clear-axratio,Model Axis Ratio (F410M),float,,axis ratio (f410m-clear),
f430m-clear-use,Useablity (F430M),bool,,use (f430m-clear),
f430m-clear-sb,Surface Brightness (F430M),float,,surface brightness (f430m-clear),mag/arcsec^2
f430m-clear-reff,Effective Radius (F430M),float,,effective radius (f430m-clear),pixels
f430m-clear-sersic,Sersic (n) (F430M),float,,sersic (f430m-clear),
f430m-clear-axratio,Model Axis Ratio (F430M),float,,axis ratio (f430m-clear),
f444w-clear-use,Useablity (F444W),bool,,use (f444w-clear),
f444w-clear-sb,Surface Brightness (F444W),float,,surface brightness (f444w-clear),mag/arcsec^2
f444w-clear-reff,Effective Radius (F444W),float,,effective radius (f444w-clear),pixels
f444w-clear-sersic,Sersic (n) (F444W),float,,sersic (f444w-clear),
f444w-clear-axratio,Model Axis Ratio (F444W),float,,axis ratio (f444w-clear),
f460m-clear-use,Useablity (F460M),bool,,use (f460m-clear),
f460m-clear-sb,Surface Brightness (F460M),float,,surface brightness (f460m-clear),mag/arcsec^2
f460m-clear-reff,Effective Radius (F460M),float,,effective radius (f460m-clear),pixels
f460m-clear-sersic,Sersic (n) (F460M),float,,sersic (f460m-clear),
f460m-clear-axratio,Model Axis Ratio (F460M),float,,axis ratio (f460m-clear),
f480m-clear-use,Useablity (F480M),bool,,use (f480m-clear),
f480m-clear-sb,Surface Brightness (F480M),float,,surface brightness (f480m-clear),mag/arcsec^2
f480m-clear-reff,Effective Radius (F480M),float,,effective radius (f480m-clear),pixels
f480m-clear-sersic,Sersic (n) (F480M),float,,sersic (f480m-clear),
f480m-clear-axratio,Model Axis Ratio (F480M),float,,axis ratio (f480m-clear),
